#id	parent name
species:ncbi:101127	Hesseltinella
species:ncbi:101142	Thamnidium
species:ncbi:101187	Halobatrachus
species:ncbi:101192	Methanomethylovorans
species:ncbi:204064	Cactodera
species:ncbi:463901	Juga
species:ncbi:101470	Prostephanus
species:ncbi:101473	Wollastonia
species:ncbi:101475	Poronia
species:ncbi:101493	Entosiphon
species:ncbi:101504	Pleuragramma
species:ncbi:101611	Cyclanthus
species:ncbi:101613	Dimerocostus
species:ncbi:101617	Musella
species:ncbi:101627	Iriartea
species:ncbi:101665	Anomalurus
species:ncbi:101667	Idiurus
species:ncbi:101671	Napaeozapus
species:ncbi:348153	Heteromys
species:ncbi:101708	Eustrephus
species:ncbi:101727	Matrona
species:ncbi:171466	Naucoria
species:ncbi:101845	Setchelliogaster
species:ncbi:101849	Lobodon
species:ncbi:101852	Glarea
species:ncbi:108566	Pezicula
species:ncbi:155062	Chalcalburnus
species:ncbi:268254	Pseudophoxinus
species:ncbi:155067	Vimba
species:ncbi:260974	Phoxinellus
species:ncbi:101924	Rhodosorus
species:ncbi:74426	Collinsella
species:ncbi:102169	Penium
species:ncbi:102178	Anguis
species:ncbi:102191	Ophisaurus
species:ncbi:102202	Astreopora
species:ncbi:194332	Platygyra
species:ncbi:102211	Benincasa
species:ncbi:102235	Cyanobacterium
species:ncbi:102246	Boulengerula
species:ncbi:102291	Anomia
species:ncbi:244467	Cardiolucina
species:ncbi:129185	Nuculana
species:ncbi:111169	Pinna
species:ncbi:182712	Spondylus
species:ncbi:102599	Misopates
species:ncbi:102642	Abax
species:ncbi:102657	Benthoctopus
species:ncbi:294701	Opisthoteuthis
species:ncbi:221204	Hieracium
species:ncbi:176616	Ageratina
species:ncbi:102757	Carphephorus
species:ncbi:301150	Liatris
species:ncbi:192012	Mikania
species:ncbi:385523	Pityogenes
species:ncbi:215711	Colacium
species:ncbi:102970	Candidatus Magnospira
species:ncbi:271168	Nyctiphanes
species:ncbi:102981	Circulifer
species:ncbi:103032	Hanabusaya
species:ncbi:103208	Clarotes
species:ncbi:103213	Heterobranchus
species:ncbi:103215	Channallabes
species:ncbi:114832	Lopharia
species:ncbi:159735	Microgemma
species:ncbi:103456	Polydispyrenia
species:ncbi:129883	Telestes
species:ncbi:139416	Mitoura
species:ncbi:142762	Cestrum
species:ncbi:103592	Feresa
species:ncbi:103594	Lagenodelphis
species:ncbi:103596	Peponocephala
species:ncbi:103598	Sotalia
species:ncbi:103600	Sousa
species:ncbi:103699	Chlamydosaurus
species:ncbi:103701	Gonocephalus
species:ncbi:179887	Bradypodion
species:ncbi:324762	Bostrychia
species:ncbi:161590	Syngnathus
species:ncbi:103744	Austroeupatorium
species:ncbi:103769	Whitfieldia
species:ncbi:103804	Gyrodactyloides
species:ncbi:103820	Mycteroperca
species:ncbi:103823	Neonotonia
species:ncbi:103825	Pharyngostomum
species:ncbi:103827	Thelazia
species:ncbi:271217	Mythimna
species:ncbi:219752	Odontesthes
species:ncbi:103890	Hyles
species:ncbi:103944	Protobothrops
species:ncbi:196523	Chalcites
species:ncbi:103964	Austrocedrus
species:ncbi:103972	Fitzroya
species:ncbi:103977	Papuacedrus
species:ncbi:103979	Pilgerodendron
species:ncbi:103983	Parvilucifera
species:ncbi:104005	Melocanna
species:ncbi:104075	Adelotus
species:ncbi:104077	Megistolotis
species:ncbi:104083	Pseudotrichonympha
species:ncbi:104086	Holomastigotoides
species:ncbi:104089	Spirotrichonympha
species:ncbi:405008	Eucomonympha
species:ncbi:104114	Nesolagus
species:ncbi:104130	Glyptonotus
species:ncbi:104142	Ceratoserolis
species:ncbi:104144	Cuspidoserolis
species:ncbi:104158	Serolis
species:ncbi:104176	Oscillochloris
species:ncbi:104195	Brachyderes
species:ncbi:104205	Streptomonospora
species:ncbi:104212	Clavulinopsis
species:ncbi:104232	Lentaria
species:ncbi:271883	Candelariella
species:ncbi:979	Cellulophaga
species:ncbi:107401	Tenacibaculum
species:ncbi:104318	Pterodon
species:ncbi:252459	Eysenhardtia
species:ncbi:104352	Crepidotus
species:ncbi:104354	Faerberia
species:ncbi:330929	Melanoleuca
species:ncbi:129788	Venerupis
species:ncbi:145856	Picobirnavirus
species:ncbi:105696	Epicoccum
species:ncbi:219515	Drepana
species:ncbi:104452	Operophtera
species:ncbi:104455	Heterophyes
species:ncbi:104472	Pygidiopsis
species:ncbi:190331	Agriopis
species:ncbi:104478	Stellantchasmus
species:ncbi:104486	Alsophila
species:ncbi:113315	Chlosyne
species:ncbi:104503	Euphydryas
species:ncbi:113334	Melitaea
species:ncbi:104536	Uronema
species:ncbi:104657	Wobblia
species:ncbi:104685	Galeolaria
species:ncbi:394749	Cirratulus
species:ncbi:167815	Eurythoe
species:ncbi:326180	Mesochaetopterus
species:ncbi:279652	Pista
species:ncbi:104727	Polyophthalmus
species:ncbi:104730	Sigalion
species:ncbi:167828	Marphysa
species:ncbi:167831	Notomastus
species:ncbi:363721	Pectinaria
species:ncbi:59817	Nanovirus
species:ncbi:104782	Adineta
species:ncbi:104788	Macrotrachela
species:ncbi:104791	Sinantherina
species:ncbi:104793	Eosphora
species:ncbi:104813	Ceraon
species:ncbi:104885	Tricentrus
species:ncbi:105041	Cynopoecilus
species:ncbi:124003	Coccotrypes
species:ncbi:298160	Xyleborinus
species:ncbi:105120	Xyleborus
species:ncbi:429336	Xylosandrus
species:ncbi:105145	Glycyphagus
species:ncbi:105181	Elettaria
species:ncbi:519245	Gigantochloa
species:ncbi:105195	Epimyrma
species:ncbi:314137	Myrmoxenus
species:ncbi:124009	Dryocoetes
species:ncbi:105209	Premnobius
species:ncbi:105211	Trypodendron
species:ncbi:105213	Xyloterinus
species:ncbi:105222	Tinaminyssus
species:ncbi:105226	Ptilonyssus
species:ncbi:105228	Sternostoma
species:ncbi:261045	Aphanarthrum
species:ncbi:105281	Bursaria
species:ncbi:105339	Milula
species:ncbi:105388	Tithonia
species:ncbi:105402	Zoanthus
species:ncbi:105407	Ecklonia
species:ncbi:105409	Egregia
species:ncbi:209404	Lessonia
species:ncbi:105500	Waitzia
species:ncbi:208807	Kickxia
species:ncbi:207924	Symploca
species:ncbi:154028	Isopora
species:ncbi:187245	Valsella
species:ncbi:105689	Micropotamogale
species:ncbi:199658	Renealmia
species:ncbi:105727	Cyclodina
species:ncbi:105718	Lampropholis
species:ncbi:105720	Leiolopisma
species:ncbi:105732	Oligosoma
species:ncbi:124781	Kadsura
species:ncbi:235806	Polyalthia
species:ncbi:105762	Ageniaspis
species:ncbi:64657	Tremella
species:ncbi:105774	Porotermes
species:ncbi:256709	Kalotermes
species:ncbi:105851	Acidilobus
species:ncbi:105857	Potamorrhaphis
species:ncbi:105873	Pteraster
species:ncbi:542672	Aloysia
species:ncbi:105906	Succisa
species:ncbi:106275	Asarina
species:ncbi:299788	Schweinfurthia
species:ncbi:255210	Platygloea
species:ncbi:106023	Sakaguchia
species:ncbi:106036	Asteromyrtus
species:ncbi:106044	Kunzea
species:ncbi:295139	Leptospermum
species:ncbi:106106	Urotrichus
species:ncbi:106108	Plautia
species:ncbi:106147	Pelistega
species:ncbi:244447	Cynoglossus
species:ncbi:106212	Pseudotylosurus
species:ncbi:457182	Aconogonon
species:ncbi:462269	Amiota
species:ncbi:106283	Diplothrix
species:ncbi:158443	Amusium
species:ncbi:122953	Saccostomus
species:ncbi:146129	Myospalax
species:ncbi:106961	Mesanophrys
species:ncbi:106393	Orchitophrya
species:ncbi:294003	Alcantarea
species:ncbi:106453	Greigia
species:ncbi:348703	Synanthedon
species:ncbi:148914	Sidalcea
species:ncbi:204317	Calciodinellum
species:ncbi:106538	Ensiculifera
species:ncbi:106584	Dimidiochromis
species:ncbi:106590	Cupriavidus
species:ncbi:106592	Ensifer
species:ncbi:106634	Thioalkalivibrio
species:ncbi:330578	Trachypogon
species:ncbi:106660	Ampelozizyphus
species:ncbi:106664	Colubrina
species:ncbi:106677	Frangula
species:ncbi:106683	Karwinskia
species:ncbi:106689	Maesopsis
species:ncbi:345801	Paliurus
species:ncbi:106710	Scutia
species:ncbi:108868	Ventilago
species:ncbi:106723	Dorstenia
species:ncbi:106741	Aratus
species:ncbi:156504	Gaetice
species:ncbi:106754	Goniopsis
species:ncbi:156079	Grapsus
species:ncbi:106758	Leptograpsus
species:ncbi:151190	Plagusia
species:ncbi:414717	Pachycladon
species:ncbi:5418	Cryptococcus
species:ncbi:89926	Cryptococcus
species:ncbi:106915	Bilobella
species:ncbi:165480	Neanura
species:ncbi:106928	Friesea
species:ncbi:106947	Marshallagia
species:ncbi:106974	Maihuenia
species:ncbi:371859	Opuntia
species:ncbi:107018	Wiseana
species:ncbi:261969	Dicrurus
species:ncbi:497061	Platysteira
species:ncbi:435711	Rhipidura
species:ncbi:107240	Scoparia
species:ncbi:107245	Lepidopus
species:ncbi:107250	Caudiverbera
species:ncbi:107258	Chaceon
species:ncbi:107270	Brachytarsomys
species:ncbi:107272	Brachyuromys
species:ncbi:107286	Eliurus
species:ncbi:107276	Gymnuromys
species:ncbi:107358	Discolobium
species:ncbi:107362	Geoffroea
species:ncbi:500185	Platymiscium
species:ncbi:114734	Gallinago
species:ncbi:107395	Didemnum
species:ncbi:107398	Amaroucium
species:ncbi:100951	Cryptococcus
species:ncbi:264483	Phaffia
species:ncbi:255777	Microsphaeropsis
species:ncbi:110664	Talinum
species:ncbi:107607	Aptenia
species:ncbi:107733	Leptoplana
species:ncbi:107736	Prostheceraeus
species:ncbi:107768	Acilius
species:ncbi:207431	Agabus
species:ncbi:107782	Orectochilus
species:ncbi:183353	Colymbetes
species:ncbi:309097	Desmopachria
species:ncbi:398601	Dytiscus
species:ncbi:126240	Gomphus
species:ncbi:107831	Myxobacter
species:ncbi:197085	Pyrenaria
species:ncbi:183361	Graphoderus
species:ncbi:183369	Hydaticus
species:ncbi:110021	Hydrocanthus
species:ncbi:210122	Hydroporus
species:ncbi:107881	Hygrobia
species:ncbi:183374	Laccophilus
species:ncbi:191017	Meladema
species:ncbi:210104	Neoporus
species:ncbi:245121	Paroster
species:ncbi:183379	Rhantus
species:ncbi:183381	Thermonectus
species:ncbi:107949	Turbanella
species:ncbi:107968	Nototriton
species:ncbi:107996	Oedipina
species:ncbi:413665	Scaphander
species:ncbi:108042	Parastacus
species:ncbi:108055	Ullucus
species:ncbi:108086	Foleyella
species:ncbi:108111	Eurypanopeus
species:ncbi:108121	Eurytium
species:ncbi:108123	Rhithropanopeus
species:ncbi:108238	Spathebothrium
species:ncbi:108243	Hunterella
species:ncbi:428416	Tentacularia
species:ncbi:272807	Macrobothridium
species:ncbi:108271	Litobothrium
species:ncbi:108274	Platybothrium
species:ncbi:108280	Anthobothrium
species:ncbi:108306	Rhinebothrium
species:ncbi:428414	Acanthobothrium
species:ncbi:108295	Prosobothrium
species:ncbi:108297	Clistobothrium
species:ncbi:108301	Duplicibothrium
species:ncbi:108330	Macrophoma
species:ncbi:108362	Sida
species:ncbi:183227	Anoda
species:ncbi:108402	Neotricula
species:ncbi:108404	Tricula
species:ncbi:108407	Anemopsis
species:ncbi:108409	Cissampelos
species:ncbi:263444	Carludovica
species:ncbi:400539	Meliosma
species:ncbi:153583	Sarcococca
species:ncbi:88920	Trimenia
species:ncbi:108453	Malvastrum
species:ncbi:108470	Hyostrongylus
species:ncbi:108472	Graphidium
species:ncbi:126399	Spiculopteragia
species:ncbi:108514	Ladigesocypris
species:ncbi:108517	Voalavo
species:ncbi:169094	Deinacrida
species:ncbi:108549	Cryptosporiopsis
species:ncbi:108695	Baryscapus
species:ncbi:345419	Cirrospilus
species:ncbi:108714	Closterocerus
species:ncbi:108727	Diglyphus
species:ncbi:108729	Edovum
species:ncbi:150260	Entedon
species:ncbi:108749	Eulophus
species:ncbi:326688	Euplectrus
species:ncbi:108771	Minotetrastichus
species:ncbi:108781	Ophelimus
species:ncbi:108790	Phymastichus
species:ncbi:456318	Pnigalio
species:ncbi:425690	Quadrastichus
species:ncbi:108804	Sympiesis
species:ncbi:108809	Tetrastichus
species:ncbi:117195	Acanthiza
species:ncbi:254452	Coracina
species:ncbi:175007	Meliphaga
species:ncbi:266320	Melithreptus
species:ncbi:108846	Phonygammus
species:ncbi:126064	Abrocoma
species:ncbi:178609	Herrania
species:ncbi:108931	Nilaparvata
species:ncbi:130906	Pleistodontes
species:ncbi:109027	Laupala
species:ncbi:109044	Tetraogallus
species:ncbi:377494	Bunium
species:ncbi:109116	Dicyclophora
species:ncbi:325745	Pycnocycla
species:ncbi:109147	Sphallerocarpus
species:ncbi:180538	Erucastrum
species:ncbi:109163	Calopogonium
species:ncbi:84983	Desulfofrigus
species:ncbi:84980	Desulfotalea
species:ncbi:157842	Desulfofaba
species:ncbi:109171	Pachyrhizus
species:ncbi:109173	Pseudovigna
species:ncbi:109180	Fromia
species:ncbi:109185	Linckia
species:ncbi:279915	Corallotaenia
species:ncbi:429560	Cullen
species:ncbi:109226	Eriosema
species:ncbi:109238	Planoglabratella
species:ncbi:927	Halothiobacillus
species:ncbi:109273	Ambloplites
species:ncbi:109298	Elaphodus
species:ncbi:109325	Pelospora
species:ncbi:109327	Anaerovorax
species:ncbi:166920	Microsomacanthus
species:ncbi:109368	Phyllocoptes
species:ncbi:331510	Aceria
species:ncbi:389666	Nemania
species:ncbi:244699	Henicorhina
species:ncbi:109460	Spironema
species:ncbi:109485	Hypsugo
species:ncbi:189255	Dendrosenecio
species:ncbi:210888	Gynura
species:ncbi:109589	Pyrearinus
species:ncbi:109609	Sminthurus
species:ncbi:109630	Todaropsis
species:ncbi:249314	Galerina
species:ncbi:109671	Physa
species:ncbi:109674	Falcipennis
species:ncbi:121570	Otomys
species:ncbi:586786	Centropyge
species:ncbi:109739	Chaetodontoplus
species:ncbi:109764	Harpochytrium
species:ncbi:230002	Sphaerospora
species:ncbi:109801	Parvicapsula
species:ncbi:109807	Carboxydibrachium
species:ncbi:109849	Macaranga
species:ncbi:276838	Physoderma
species:ncbi:109876	Catenaria
species:ncbi:4814	Chytriomyces
species:ncbi:109886	Podisma
species:ncbi:109888	Parapodisma
species:ncbi:109905	Chelmon
species:ncbi:109907	Coradion
species:ncbi:466130	Forcipiger
species:ncbi:109924	Hemitaurichthys
species:ncbi:109925	Heniochus
species:ncbi:109936	Cladochytrium
species:ncbi:393050	Amolops
species:ncbi:325565	Huia
species:ncbi:50913	Limnonectes
species:ncbi:342815	Paa
species:ncbi:109983	Neotemnopteryx
species:ncbi:110020	Helochares
species:ncbi:103373	Hoplobatrachus
species:ncbi:109266	Anabaenopsis
species:ncbi:110160	Guanomyces
species:ncbi:110188	Ptomascopus
species:ncbi:110216	Atheris
species:ncbi:110218	Proatheris
species:ncbi:110227	Eristicophis
species:ncbi:407211	Tubaria
species:ncbi:110316	Monocystis
species:ncbi:110324	Acanthogilia
species:ncbi:110368	Bicyclus
species:ncbi:110372	Ophriocystis
species:ncbi:110441	Americamysis
species:ncbi:110453	Rhynchoryza
species:ncbi:10760	T7-like viruses
species:ncbi:153248	Ptilota
species:ncbi:7769	Myxine
species:ncbi:29856	Bionectria
species:ncbi:110568	Hydropisphaera
species:ncbi:110573	Kallichroma
species:ncbi:188376	Botaurus
species:ncbi:110668	Bubulcus
species:ncbi:110671	Butorides
species:ncbi:110676	Cochlearius
species:ncbi:110685	Ixobrychus
species:ncbi:110689	Colletoecema
species:ncbi:110694	Tigrisoma
species:ncbi:110788	Endolimax
species:ncbi:363182	Bythinella
species:ncbi:242395	Xenoturbella
species:ncbi:442737	Gammatricula
species:ncbi:110874	Aeluropus
species:ncbi:110892	Lepturus
species:ncbi:110907	Trichloris
species:ncbi:160564	Tridens
species:ncbi:110913	Uniola
species:ncbi:144185	Leifsonia
species:ncbi:110935	Agreia
species:ncbi:272187	Dyscophus
species:ncbi:111093	Petropedetes
species:ncbi:203761	Tiquilia
species:ncbi:467779	Cardioglossa
species:ncbi:111143	Alishewanella
species:ncbi:136508	Eubranchipus
species:ncbi:558799	Donacia
species:ncbi:294607	Cassida
species:ncbi:111205	Acromis
species:ncbi:111217	Brontispa
species:ncbi:111230	Chelymorpha
species:ncbi:111235	Coptocycla
species:ncbi:111237	Deloyala
species:ncbi:111256	Microrhopala
species:ncbi:111969	Bannoa
species:ncbi:111425	Mertensiella
species:ncbi:146652	Fargesia
species:ncbi:111441	Epiblema
species:ncbi:111452	Mesechinus
species:ncbi:111460	Ventricaria
species:ncbi:150355	Harposporium
species:ncbi:111501	Muricauda
species:ncbi:326568	Crangonyx
species:ncbi:334709	Niphargus
species:ncbi:196133	Buellia
species:ncbi:470310	Caloplaca
species:ncbi:111595	Phellorinia
species:ncbi:172613	Xanthoparmelia
species:ncbi:111643	Alectoria
species:ncbi:111649	Cornicularia
species:ncbi:201550	Pogonatum
species:ncbi:173093	Polytrichadelphus
species:ncbi:111674	Metus
species:ncbi:111705	Heterodea
species:ncbi:1188	Tolypothrix
species:ncbi:111784	Reinhardtius
species:ncbi:111820	Pulsatrix
species:ncbi:111831	Defluviicoccus
species:ncbi:111834	Ericymba
species:ncbi:112062	Rhizoplaca
species:ncbi:126911	Ammopiptanthus
species:ncbi:200157	Loxigilla
species:ncbi:201964	Perophora
species:ncbi:323294	Corella
species:ncbi:111872	Symplegma
species:ncbi:111878	Oopsacas
species:ncbi:111881	Aglais
species:ncbi:111886	Aphantopus
species:ncbi:111888	Arethusana
species:ncbi:132697	Coenonympha
species:ncbi:111901	Erebia
species:ncbi:111912	Hipparchia
species:ncbi:111916	Lasiommata
species:ncbi:191418	Maniola
species:ncbi:111923	Melanargia
species:ncbi:116150	Pararge
species:ncbi:111938	Pyronia
species:ncbi:366182	Satyrus
species:ncbi:270089	Taygetis
species:ncbi:111947	Paranaja
species:ncbi:111953	Crypteronia
species:ncbi:115616	Columbina
species:ncbi:111981	Dumetella
species:ncbi:265623	Elaenia
species:ncbi:111985	Margarops
species:ncbi:111988	Orthorhyncus
species:ncbi:111995	Ramphocinclus
species:ncbi:112009	Ignatzschineria
species:ncbi:143224	Zobellia
species:ncbi:156996	Dictyopteris
species:ncbi:112068	Phyllospora
species:ncbi:112072	Naohidea
species:ncbi:112094	Brevilegnia
species:ncbi:112102	Aliquandostipite
species:ncbi:112107	Pteroptochos
species:ncbi:112109	Scelorchilus
species:ncbi:112134	Crocicreas
species:ncbi:114968	Musculus
species:ncbi:112163	Chitala
species:ncbi:112162	Xenomystus
species:ncbi:112170	Cyrtosia
species:ncbi:335848	Arthrinium
species:ncbi:112226	Malacomys
species:ncbi:112273	Megoura
species:ncbi:350114	Jacquemontia
species:ncbi:112300	Euura
species:ncbi:362087	Nematus
species:ncbi:112316	Pontania
species:ncbi:112345	Callilepis
species:ncbi:112353	Elytropappus
species:ncbi:112375	Leysera
species:ncbi:112400	Syncarpha
species:ncbi:129387	Letharia
species:ncbi:112449	Nodobryoria
species:ncbi:112483	Dissoconium
species:ncbi:112498	Ramularia
species:ncbi:112542	Cybistetes
species:ncbi:112547	Gethyllis
species:ncbi:112556	Hessea
species:ncbi:112570	Pamianthe
species:ncbi:112580	Traubia
species:ncbi:240638	Scadoxus
species:ncbi:112728	Polyprion
species:ncbi:112799	Japonolirion
species:ncbi:112806	Aphloia
species:ncbi:112810	Crinodendron
species:ncbi:112817	Casearia
species:ncbi:210376	Flacourtia
species:ncbi:112823	Pangium
species:ncbi:257781	Ixonanthes
species:ncbi:112829	Lacistema
species:ncbi:112831	Chamaelirium
species:ncbi:212252	Galphimia
species:ncbi:240463	Freycinetia
species:ncbi:112840	Pelliciera
species:ncbi:112903	Propionispora
species:ncbi:112917	Macropanesthia
species:ncbi:112935	Ancaudellia
species:ncbi:112986	Clathrus
species:ncbi:112235	Neochlamydia
species:ncbi:288762	Hysterangium
species:ncbi:113097	Ranodon
species:ncbi:113189	Phoeniculus
species:ncbi:113103	Sogatella
species:ncbi:113150	Chaetosa
species:ncbi:113180	Okeniella
species:ncbi:439689	Evolvulus
species:ncbi:113205	Mazus
species:ncbi:113239	Exorista
species:ncbi:113272	Petrodromus
species:ncbi:113287	Pseudoramibacter
species:ncbi:127336	Eresia
species:ncbi:167934	Kaloula
species:ncbi:288797	Onychodactylus
species:ncbi:113410	Shanorella
species:ncbi:131385	Cerinthe
species:ncbi:113544	Arapaima
species:ncbi:270006	Papyrocranus
species:ncbi:124010	Dryoxylon
species:ncbi:113608	Tetrapisispora
species:ncbi:204285	Melanocarpus
species:ncbi:289237	Chlorella
species:ncbi:3082	Chlorella
species:ncbi:31302	Muriella
species:ncbi:415195	Myrmecia
species:ncbi:201685	Metridia
species:ncbi:210380	Mesua
species:ncbi:114109	Hoplosternum
species:ncbi:114155	Dichomitus
species:ncbi:114186	Candidatus Carsonella
species:ncbi:114189	Iva
species:ncbi:114204	Narthecium
species:ncbi:335854	Nigrospora
species:ncbi:328821	Dipetalonema
species:ncbi:114249	Tepidimonas
species:ncbi:114254	Rhizidiomyces
species:ncbi:114285	Catananche
species:ncbi:114287	Scolymus
species:ncbi:268097	Scorzonera
species:ncbi:381434	Cotinga
species:ncbi:369616	Lipaugus
species:ncbi:117002	Machaeropterus
species:ncbi:114331	Oxyruncus
species:ncbi:150660	Oxylobium
species:ncbi:321489	Pultenaea
species:ncbi:462351	Procnias
species:ncbi:114379	Querula
species:ncbi:369612	Schiffornis
species:ncbi:256750	Steatoda
species:ncbi:114411	Euroscaptor
species:ncbi:40254	Hormomya
species:ncbi:114432	Cyanoramphus
species:ncbi:268466	Adipicola
species:ncbi:179234	Macrozamia
species:ncbi:519563	Marattia
species:ncbi:114473	Duroia
species:ncbi:114490	Schumanniophyton
species:ncbi:114611	Warileya
species:ncbi:208226	Alkaliphilus
species:ncbi:114681	Laurentiella
species:ncbi:114738	Bulla
species:ncbi:114741	Dolabrifera
species:ncbi:252548	Haminoea
species:ncbi:114754	Notarchus
species:ncbi:114759	Phyllaplysia
species:ncbi:114761	Stylocheilus
species:ncbi:114779	Hexagonia
species:ncbi:114789	Physconia
species:ncbi:167387	Castanopsis
species:ncbi:114826	Hapalopilus
species:ncbi:114868	Halicephalobus
species:ncbi:114890	Rhabditophanes
species:ncbi:114906	Subanguina
species:ncbi:299135	Naupactus
species:ncbi:114909	Turbatrix
species:ncbi:115002	Platypodium
species:ncbi:115081	Megalopta
species:ncbi:115086	Pseudagapostemon
species:ncbi:115111	Mastigobasidium
species:ncbi:115113	Pseudacanthotermes
species:ncbi:115143	Nothopsyche
species:ncbi:115148	Philoscia
species:ncbi:161577	Trachelipus
species:ncbi:115155	Hyloniscus
species:ncbi:45281	Cosmospora
species:ncbi:537344	Chalarus
species:ncbi:226156	Microdon
species:ncbi:264241	Paragus
species:ncbi:115329	Toxomerus
species:ncbi:115339	Acanthoscurria
species:ncbi:419958	Chilocorus
species:ncbi:115345	Coccidula
species:ncbi:346849	Scymnus
species:ncbi:115357	Harmonia
species:ncbi:115410	Pachymerium
species:ncbi:115427	Dermatobia
species:ncbi:319454	Pseudupeneus
species:ncbi:392302	Upeneus
species:ncbi:115439	Allagoptera
species:ncbi:184783	Areca
species:ncbi:145669	Arenga
species:ncbi:169997	Attalea
species:ncbi:157786	Euterpe
species:ncbi:348509	Gaussia
species:ncbi:115475	Hyophorbe
species:ncbi:115479	Hyphaene
species:ncbi:115492	Livistona
species:ncbi:115494	Lodoicea
species:ncbi:115496	Manicaria
species:ncbi:115504	Oraniopsis
species:ncbi:115506	Phytelephas
species:ncbi:115513	Rhapidophyllum
species:ncbi:290277	Syagrus
species:ncbi:115522	Synechanthus
species:ncbi:115544	Parasporobacterium
species:ncbi:5417	Asterotremella
species:ncbi:129279	Grimmia
species:ncbi:115624	Herniaria
species:ncbi:115645	Ducula
species:ncbi:221166	Sesuvium
species:ncbi:215966	Galenia
species:ncbi:444140	Geopelia
species:ncbi:187124	Goura
species:ncbi:115677	Metriopelia
species:ncbi:115695	Phaps
species:ncbi:115699	Scardafella
species:ncbi:262130	Treron
species:ncbi:115781	Desulfotignum
species:ncbi:138986	Pitar
species:ncbi:115849	Pisione
species:ncbi:195310	Manta
species:ncbi:334990	Aetomylaeus
species:ncbi:293917	Hyporhamphus
species:ncbi:115943	Achatinella
species:ncbi:115961	Polyartemia
species:ncbi:115963	Linderiella
species:ncbi:116045	Capoeta
species:ncbi:75385	Micropruina
species:ncbi:116113	Amphibolurus
species:ncbi:201501	Epirrita
species:ncbi:116135	Quercusia
species:ncbi:116148	Mesembrina
species:ncbi:116153	Aethina
species:ncbi:166860	Polypleurum
species:ncbi:116749	Ancylocoelium
species:ncbi:116752	Weddellina
species:ncbi:137416	Zeylanidium
species:ncbi:116756	Anchistrocephalus
species:ncbi:116761	Aspidogaster
species:ncbi:116767	Bivesicula
species:ncbi:116771	Callitetrarhynchus
species:ncbi:116783	Cyclocoelum
species:ncbi:116788	Anaptychia
species:ncbi:116796	Hyperphyscia
species:ncbi:244694	Phaeophyscia
species:ncbi:144718	Rinodina
species:ncbi:117210	Antorchis
species:ncbi:116832	Bacciger
species:ncbi:116843	Diplodiscus
species:ncbi:183647	Diplostomum
species:ncbi:116847	Discocotyle
species:ncbi:116851	Eudiplozoon
species:ncbi:116858	Glypthelmins
species:ncbi:232687	Homalometron
species:ncbi:145289	Ichthyocotylurus
species:ncbi:232405	Microphallus
species:ncbi:116904	Notentera
species:ncbi:138570	Notocotylus
species:ncbi:232904	Opisthadena
species:ncbi:116916	Orchipedum
species:ncbi:116924	Pachypsolus
species:ncbi:180670	Preptetos
species:ncbi:158310	Pseudodactylogyrus
species:ncbi:116939	Pterobothrium
species:ncbi:116941	Robphildollfusium
species:ncbi:116944	Rubenstrema
species:ncbi:116948	Skrjabinoeces
species:ncbi:334867	Dendrobaena
species:ncbi:116957	Tergestia
species:ncbi:116966	Wardoides
species:ncbi:116968	Zoogonoides
species:ncbi:116987	Sundanonchus
species:ncbi:116992	Gracula
species:ncbi:116994	Paroaria
species:ncbi:116996	Penelopina
species:ncbi:396417	Italopodisma
species:ncbi:117069	Tephrocybe
species:ncbi:117142	Aulopyge
species:ncbi:117165	Grallaria
species:ncbi:117157	Actinopolymorpha
species:ncbi:117167	Cyclocarya
species:ncbi:117181	Myrmothera
species:ncbi:117203	Gerygone
species:ncbi:117217	Degeneria
species:ncbi:354140	Centris
species:ncbi:117499	Cephalodiscus
species:ncbi:117523	Nereocystis
species:ncbi:141395	Diaphanosoma
species:ncbi:350081	Eulimnadia
species:ncbi:202083	Leptestheria
species:ncbi:407038	Cytospora
species:ncbi:140175	Diatrypella
species:ncbi:46124	Granulicatella
species:ncbi:117679	Poecilimon
species:ncbi:191763	Harrimania
species:ncbi:6395	Eisenia
species:ncbi:195338	Urogymnus
species:ncbi:195319	Platyrhina
species:ncbi:386614	Amblyraja
species:ncbi:255564	Dipturus
species:ncbi:7782	Leucoraja
species:ncbi:417954	Neoraja
species:ncbi:432798	Okamejei
species:ncbi:473382	Rajella
species:ncbi:341243	Bathyraja
species:ncbi:195333	Rhynchobatus
species:ncbi:556017	Aptychotrema
species:ncbi:540279	Zapteryx
species:ncbi:337883	Trygonorrhina
species:ncbi:195328	Rhina
species:ncbi:195290	Anoxypristis
species:ncbi:257756	Hypnos
species:ncbi:117899	Eupolystoma
species:ncbi:117901	Pseudodiplorchis
species:ncbi:117903	Protopolystoma
species:ncbi:210640	Moxostoma
species:ncbi:261849	Euchaeta
species:ncbi:338212	Palaemon
species:ncbi:118000	Denitrovibrio
species:ncbi:118003	Cyclidiopsis
species:ncbi:309797	Chrysiogenes
species:ncbi:118008	Menoidium
species:ncbi:118010	Rhabdomonas
species:ncbi:387586	Tylimanthus
species:ncbi:303119	Niwaella
species:ncbi:118140	Teschovirus
species:ncbi:139719	Moringua
species:ncbi:118154	Synaphobranchus
species:ncbi:118180	Anthracothorax
species:ncbi:176937	Galbula
species:ncbi:206585	Diporiphora
