#id	parent name
species:ncbi:2280	Staphylothermus
species:ncbi:2287	Sulfolobus
species:ncbi:2291	Desulfobacter
species:ncbi:2296	Desulfobacterium
species:ncbi:2300	Desulfosarcina
species:ncbi:2303	Thermoplasma
species:ncbi:2309	Pyrodictium
species:ncbi:2315	Methanoplanus
species:ncbi:2317	Methanosphaera
species:ncbi:2320	Methanopyrus
species:ncbi:2331	Halanaerobium
species:ncbi:2333	Propionigenium
species:ncbi:2336	Thermotoga
species:ncbi:2345	Methylosporovibrio
species:ncbi:2350	Haliscomenobacter
species:ncbi:2352	Flexistipes
species:ncbi:2354	Flexispira
species:ncbi:2358	Desulfomonile
species:ncbi:2369	Arhodomonas
species:ncbi:2371	Xylella
species:ncbi:2374	Acetonema
species:ncbi:2378	Sporomusa
species:ncbi:77094	Epulopiscium
species:ncbi:46541	Thermosipho
species:ncbi:93466	Fervidobacterium
species:ncbi:2426	Teredinibacter
species:ncbi:2434	Roseobacter
species:ncbi:2698	Heliobacterium
species:ncbi:2702	Gardnerella
species:ncbi:37334	Citrus
species:ncbi:63363	Aquifex
species:ncbi:2718	Cardiobacterium
species:ncbi:2724	Hirschia
species:ncbi:2734	Symbiobacterium
species:ncbi:2736	Verrucomicrobium
species:ncbi:2738	Vagococcus
species:ncbi:2741	Peptococcus
species:ncbi:2743	Marinobacter
species:ncbi:2746	Halomonas
species:ncbi:2751	Carnobacterium
species:ncbi:2754	Synergistes
species:ncbi:2756	Brochothrix
species:ncbi:2762	Cyanophora
species:ncbi:2765	Aglaothamnion
species:ncbi:2767	Antithamnion
species:ncbi:2769	Chondrus
species:ncbi:2771	Cyanidium
species:ncbi:2773	Gastroclonium
species:ncbi:2777	Gracilaria
species:ncbi:2782	Gracilariopsis
species:ncbi:2786	Porphyra
species:ncbi:35688	Porphyridium
species:ncbi:2795	Rhodymenia
species:ncbi:2801	Rhodella
species:ncbi:65404	Polysiphonia
species:ncbi:69144	Batrachospermum
species:ncbi:2812	Gelidium
species:ncbi:2816	Carpopeltis
species:ncbi:2822	Palmaria
species:ncbi:42017	Gloiopeltis
species:ncbi:2829	Heterosigma
species:ncbi:2832	Pavlova
species:ncbi:2835	Bumilleriopsis
species:ncbi:2839	Odontella
species:ncbi:2843	Skeletonema
species:ncbi:2850	Phaeodactylum
species:ncbi:2853	Cylindrotheca
species:ncbi:2858	Nitzschia
species:ncbi:449144	Diatoma
species:ncbi:2866	Crypthecodinium
species:ncbi:59809	Peridinium
species:ncbi:2872	Costaria
species:ncbi:2876	Dictyota
species:ncbi:2880	Ectocarpus
species:ncbi:2885	Pylaiella
species:ncbi:2889	Alaria
species:ncbi:2893	Petalonia
species:ncbi:2903	Emiliania
species:ncbi:2907	Ochrosphaera
species:ncbi:2913	Gonyaulax
species:ncbi:142107	Ceratium
species:ncbi:66468	Heterocapsa
species:ncbi:2923	Thoracosphaera
species:ncbi:2926	Alexandrium
species:ncbi:2941	Cachonina
species:ncbi:2945	Prorocentrum
species:ncbi:2950	Symbiodinium
species:ncbi:39447	Gymnodinium
species:ncbi:2961	Amphidinium
species:ncbi:2963	Woloszynskia
species:ncbi:2966	Noctiluca
species:ncbi:2969	Oxyrrhis
species:ncbi:2972	Pyrocystis
species:ncbi:73016	Vaucheria
species:ncbi:2981	Tribonema
species:ncbi:2986	Ochromonas
species:ncbi:52552	Mallomonas
species:ncbi:52555	Synura
species:ncbi:3000	Hibberdia
species:ncbi:3003	Bacillaria
species:ncbi:3005	Rhizosolenia
species:ncbi:49266	Fucus
species:ncbi:74090	Sargassum
species:ncbi:3018	Acinetospora
species:ncbi:3026	Chordaria
species:ncbi:3029	Chroomonas
species:ncbi:2898	Cryptomonas
species:ncbi:3034	Pyrenomonas
species:ncbi:186755	Astasia
species:ncbi:3039	Euglena
species:ncbi:3046	Dunaliella
species:ncbi:51329	Polytomella
species:ncbi:3055	Chlamydomonas
species:ncbi:3064	Pyrobotrys
species:ncbi:3067	Volvox
species:ncbi:3077	Chlorella
species:ncbi:3088	Scenedesmus
species:ncbi:3094	Characium
species:ncbi:3097	Chlorococcopsis
species:ncbi:3100	Neochloris
species:ncbi:312850	Parietochloris
species:ncbi:3105	Pediastrum
species:ncbi:3107	Hydrodictyon
species:ncbi:3109	Ankistrodesmus
species:ncbi:3112	Prototheca
species:ncbi:63410	Ulva
species:ncbi:3125	Coleochaete
species:ncbi:3129	Bryopsis
species:ncbi:3133	Codium
species:ncbi:35845	Acetabularia
species:ncbi:3140	Batophora
species:ncbi:3144	Chlorokybus
species:ncbi:3150	Nitella
species:ncbi:3156	Asteromonas
species:ncbi:3159	Pedinomonas
species:ncbi:3161	Platymonas
species:ncbi:270643	Tetraselmis
species:ncbi:3175	Klebsormidium
species:ncbi:3181	Spirogyra
species:ncbi:162065	Chaetomorpha
species:ncbi:76111	Nannochloris
species:ncbi:3190	Scherffelia
species:ncbi:3192	Spermatozopsis
species:ncbi:3197	Marchantia
species:ncbi:3203	Jungermannia
species:ncbi:3207	Lophocolea
species:ncbi:41836	Polytrichum
species:ncbi:3218	Physcomitrella
species:ncbi:3222	Dicranum
species:ncbi:3225	Ceratodon
species:ncbi:3229	Mnium
species:ncbi:3231	Plagiomnium
species:ncbi:48387	Anthoceros
species:ncbi:3240	Psilotum
species:ncbi:88036	Selaginella
species:ncbi:3252	Lycopodium
species:ncbi:3258	Equisetum
species:ncbi:3267	Angiopteris
species:ncbi:3271	Dicksonia
species:ncbi:3274	Gleichenia
species:ncbi:3277	Matteuccia
species:ncbi:3279	Polystichum
species:ncbi:3281	Onoclea
species:ncbi:3285	Osmunda
species:ncbi:3288	Dryopteris
species:ncbi:179203	Encephalartos
species:ncbi:3304	Zamia
species:ncbi:3311	Ginkgo
species:ncbi:3316	Thuja
species:ncbi:46611	Abies
species:ncbi:3322	Cedrus
species:ncbi:3324	Keteleeria
species:ncbi:54800	Larix
species:ncbi:3329	Picea
species:ncbi:3349	Pinus
species:ncbi:3355	Pseudolarix
species:ncbi:3357	Pseudotsuga
species:ncbi:3359	Tsuga
species:ncbi:120620	Podocarpus
species:ncbi:3369	Cryptomeria
species:ncbi:3371	Metasequoia
species:ncbi:3377	Welwitschia
species:ncbi:3382	Gnetum
species:ncbi:33152	Ephedra
species:ncbi:3397	Cycas
species:ncbi:85864	Magnolia
species:ncbi:3415	Liriodendron
species:ncbi:3419	Drimys
species:ncbi:3420	Tasmannia
species:ncbi:3426	Canella
species:ncbi:3431	Calycanthus
